username,content,timestamp,link,comments,retweets,likes,quotes
@octofinder,The Medieval Warm Period and Little Ice Age in Arid Central Asia [ New Content on CO2 Science ] - http://octofinder.com/~hzfh,"Jul 28, 2010 · 5:45 AM UTC",/octofinder/status/19718154680#m,0,0,0,0
@octofinder,The Medieval Warm Period in Greenland [ New Content on CO2 Science ] - http://octofinder.com/~,"Apr 20, 2010 · 11:18 PM UTC",/octofinder/status/12543327610#m,0,0,0,0
@octofinder,The Medieval Warm Period and Little Ice Age in Northern Patagonia [ New Content on CO2 Science ] - http://octofinder.com/~c6s3,"Feb 9, 2010 · 6:48 PM UTC",/octofinder/status/8865955751#m,0,0,0,0
