username,content,timestamp,link,comments,retweets,likes,quotes
@lalaresister,"""Microchips with GPS tracking may strike some as the first step toward handing our autonomy over to Skynet-like government overlords&#44; and Three Square Market officials admit that the chips will offer a convenient way to track people —""  latimes.com/business/technol…","Aug 30, 2018 · 3:42 PM UTC",/lalaresister/status/1035190969082073089#m,0,1,0,0
@CynicalEyebrow,Anime Idea #18: After a chance encounter where ordinary salaryman Saito is witness to a battle between two mystic warriors&#44; he begins a paranormal podcast warning the people about the Reptilians infiltrating government and putting tracking devices in vaccines.,"Aug 21, 2018 · 1:42 PM UTC",/CynicalEyebrow/status/1031899379051819010#m,0,2,5,0
@AshleyCorradene,People who have all of these psychotic conspiracy theories about vaccines need help. The government isn’t pumping you full of tracking devices or trying to poison you&#44; relax.,"Jul 12, 2018 · 1:32 PM UTC",/AshleyCorradene/status/1017401428200091648#m,0,0,0,0
@Nokomis7,Looks like the government is angry that people are optin out of vaccines?? Just look at them trying to grip at our health freedom...everywhere. I hope you'll get involved & rise up... greenmedinfo.com/blog/breaki…,"Jul 4, 2018 · 5:46 PM UTC",/Nokomis7/status/1014566225240903680#m,0,1,0,1
